sym,dir,entry_time,exit_time,entry,exit,shares,gross,costs,net,bars,rvol,r_mult,reason
MARA,short,2026-01-20 09:49:00-05:00,2026-01-20 09:50:00-05:00,10.35,10.421338461538461,463,-33.02970769230771,18.941072205873844,-51.97077989818155,2,2.117708882441204,-1.0000000000000009,stop_loss
COIN,short,2026-01-20 09:54:00-05:00,2026-01-20 09:54:00-05:00,230.15,231.35161461538462,20,-24.032292307692273,3.9552478146492307,-27.987540122341507,1,1.191454772447614,-0.9999999999999983,stop_loss
AMD,long,2026-01-20 09:55:00-05:00,2026-01-20 09:55:00-05:00,232.53,231.52269615384614,20,-20.146076923077203,3.9770748682923074,-24.12315179136951,1,1.1505137624530668,-1.000000000000014,stop_loss
GS,long,2026-01-20 10:08:00-05:00,2026-01-20 10:10:00-05:00,952.06,949.5340792307692,5,-12.629603846153827,4.069169735474615,-16.698773581628444,3,0.8806213955211141,-0.9999999999999976,stop_loss
FSLR,short,2026-01-20 09:46:00-05:00,2026-01-20 10:21:00-05:00,236.75,238.00488692307692,20,-25.097738461538484,4.068642812513846,-29.16638127405233,36,0.436365317990358,-1.0000000000000009,stop_loss
SLB,long,2026-01-20 10:33:00-05:00,2026-01-20 10:41:00-05:00,46.905,46.74654846153846,102,-16.16205692307723,4.379422330817539,-20.54147925389477,9,1.3066022892001283,-1.0000000000000187,stop_loss
MSTR,short,2026-01-20 09:46:00-05:00,2026-01-20 11:19:00-05:00,161.51,162.6560769230769,29,-33.236230769230644,4.031297183523077,-37.267527952753724,94,1.0870268873896989,-0.9999999999999966,stop_loss
GOOG,long,2026-01-20 10:21:00-05:00,2026-01-20 13:53:00-05:00,325.2,324.4206946153846,14,-10.910275384615375,3.895356264190462,-14.805631648805836,213,1.0231721942100076,-1.0,stop_loss
ADBE,short,2026-01-20 09:36:00-05:00,2026-01-20 14:14:00-05:00,292.575,293.5318646153846,16,-15.309833846154106,4.017096266919385,-19.32693011307349,279,1.269847993601016,-1.0000000000000173,stop_loss
PLTR,long,2026-01-20 10:21:00-05:00,2026-01-20 14:25:00-05:00,169.4634,168.69988153846154,28,-21.378516923077086,4.059951051580308,-25.438467974657396,245,1.1011768321137454,-1.0000000000000075,stop_loss
ROKU,long,2026-01-20 09:35:00-05:00,2026-01-20 14:30:00-05:00,102.8,102.32007307692308,47,-22.556565384615098,4.139871261328462,-26.696436645943557,296,0.906519046948113,-0.999999999999988,stop_loss
AMZN,short,2026-01-20 13:20:00-05:00,2026-01-20 15:55:00-05:00,231.56,230.97,20,11.800000000000068,3.96404668,7.835953320000067,156,1.4494767103701542,0.9329992214869652,eod_win
MSFT,long,2026-01-20 09:38:00-05:00,2026-01-20 15:55:00-05:00,452.14,454.33,10,21.899999999999977,3.88119866,18.018801339999975,378,1.3700595878178885,2.4218203718731943,eod_win
WFC,short,2026-01-20 13:47:00-05:00,2026-01-20 15:55:00-05:00,86.8,86.53,55,14.849999999999781,4.096541569999999,10.75345842999978,129,0.6241560856357812,1.1637236504452475,eod_win
ABBV,short,2026-01-21 09:35:00-05:00,2026-01-21 09:35:00-05:00,212.0,212.67292923076923,22,-14.804443076923008,4.004155740748308,-18.808598817671314,1,1.3339402324294412,-0.9999999999999957,stop_loss
BAC,long,2026-01-21 09:35:00-05:00,2026-01-21 09:36:00-05:00,52.61,52.48228076923077,90,-11.494730769230728,4.076142994176924,-15.570873763407652,2,0.6391971430825512,-0.9999999999999961,stop_loss
RIVN,short,2026-01-21 09:35:00-05:00,2026-01-21 09:37:00-05:00,16.21,16.318269230769232,295,-31.939423076923212,12.164704335961538,-44.10412741288475,3,0.6057380255901564,-1.000000000000004,stop_loss
INTC,long,2026-01-21 09:37:00-05:00,2026-01-21 09:37:00-05:00,52.135,51.81429615384615,91,-29.184050000000113,4.076937309409999,-33.26098730941011,1,1.9175530563034537,-1.0000000000000042,stop_loss
SOFI,short,2026-01-21 09:35:00-05:00,2026-01-21 09:38:00-05:00,25.36,25.50115230769231,188,-26.536633846154075,7.848236726420923,-34.384870572575,4,0.7522504245518239,-1.0000000000000089,stop_loss
PLTR,short,2026-01-21 09:35:00-05:00,2026-01-21 09:38:00-05:00,166.97,167.7650569230769,28,-22.261593846153573,4.018886405847384,-26.280480252000956,4,0.7457525935119659,-0.9999999999999879,stop_loss
AMZN,short,2026-01-21 09:35:00-05:00,2026-01-21 09:38:00-05:00,229.5158,230.16778461538462,20,-13.039692307692121,3.939692749969231,-16.979385057661354,4,0.8304086219403691,-0.9999999999999856,stop_loss
TGT,long,2026-01-21 09:35:00-05:00,2026-01-21 09:38:00-05:00,110.05,109.69583692307693,43,-15.229012307692102,4.056588568534769,-19.285600876226873,4,0.7113262839996731,-0.9999999999999873,stop_loss
W,short,2026-01-21 09:35:00-05:00,2026-01-21 09:38:00-05:00,107.17,107.81842461538461,44,-28.53068307692297,4.061378114220307,-32.59206119114328,4,0.4871305017475268,-0.9999999999999959,stop_loss
ROKU,short,2026-01-21 09:35:00-05:00,2026-01-21 09:39:00-05:00,101.64,102.12523461538461,47,-22.8060269230768,4.112630066317692,-26.918656989394492,5,0.5058430873938895,-0.9999999999999952,stop_loss
COIN,long,2026-01-21 09:38:00-05:00,2026-01-21 09:40:00-05:00,230.045,228.82700076923075,20,-24.359984615384747,3.932748838581538,-28.292733453966285,3,0.5629296168690305,-1.000000000000005,stop_loss
NFLX,long,2026-01-21 09:38:00-05:00,2026-01-21 09:40:00-05:00,83.7,83.46174153846154,57,-13.580732307692472,4.09509620271877,-17.67582851041124,3,5.063725726572211,-1.0000000000000115,stop_loss
CRM,long,2026-01-21 09:36:00-05:00,2026-01-21 09:40:00-05:00,221.43,220.62992,21,-16.801680000000175,3.9783499092960004,-20.780029909296175,5,1.1239681701515551,-1.0000000000000104,stop_loss
JPM,long,2026-01-21 09:35:00-05:00,2026-01-21 09:41:00-05:00,304.94,304.1734769230769,15,-11.497846153846183,3.913661181415385,-15.411507335261566,7,0.6110508590329823,-1.0000000000000029,stop_loss
ADBE,long,2026-01-21 09:35:00-05:00,2026-01-21 09:41:00-05:00,291.8,290.8201353846154,16,-15.67783384615359,3.9932303026806157,-19.671064148834205,7,0.8485420238394754,-0.9999999999999838,stop_loss
