sym,dir,entry_time,exit_time,entry,exit,shares,gross,costs,net,bars,rvol,r_mult,reason
WMT,long,2026-01-16 15:50:00-05:00,2026-01-16 15:50:00-05:00,119.07,118.28,41,-32.389999999999674,4.17668353,-36.56668352999967,1,2.28617654085193,-3.163474955566542,stop_loss
AMZN,short,2026-01-16 09:35:00-05:00,2026-01-16 15:54:00-05:00,238.58,239.1569076923077,20,-11.538153846153705,4.0941569822153845,-15.63231082836909,380,2.6796618774820002,-0.9999999999999875,stop_loss
META,short,2026-01-16 15:50:00-05:00,2026-01-16 15:55:00-05:00,621.24,620.655,7,4.095000000000255,3.7213027670000005,0.37369723300025437,6,2.604216310490859,0.42438900260495477,eod_win
GOOG,short,2026-01-16 09:55:00-05:00,2026-01-16 15:55:00-05:00,331.75,330.4,14,18.90000000000032,3.9703967799999997,14.929603220000317,361,2.3261239789042807,1.8222463573243726,eod_win
QCOM,short,2026-01-16 10:40:00-05:00,2026-01-16 15:55:00-05:00,160.34,159.24,30,32.99999999999983,4.11144972,28.88855027999983,316,2.1304891776867705,2.1233944613556957,eod_win
ADBE,short,2026-01-16 09:35:00-05:00,2026-01-16 15:55:00-05:00,300.89,296.19,16,75.19999999999982,4.092205184,71.10779481599982,381,2.2792417420648925,5.01381465954064,eod_win
SMCI,short,2026-01-20 09:35:00-05:00,2026-01-20 09:38:00-05:00,30.45,30.612345384615384,162,-26.29995230769238,6.808784378674154,-33.108736686366534,4,2.4820615356463196,-1.000000000000003,stop_loss
PYPL,long,2026-01-20 09:35:00-05:00,2026-01-20 09:38:00-05:00,55.96,55.827756923076926,88,-11.637390769230592,4.237622612228924,-15.875013381459516,4,2.2940107956780875,-0.9999999999999856,stop_loss
RIOT,long,2026-01-20 09:37:00-05:00,2026-01-20 09:42:00-05:00,18.3,18.18639,270,-30.674700000000357,11.163506843339999,-41.83820684334035,6,2.711080194743972,-1.0000000000000118,stop_loss
WMT,long,2026-01-20 09:43:00-05:00,2026-01-20 09:46:00-05:00,121.4,121.1260053846154,40,-10.959784615384365,4.163385004141539,-15.123169619525903,4,2.000753570483692,-0.9999999999999765,stop_loss
MARA,short,2026-01-20 09:49:00-05:00,2026-01-20 09:50:00-05:00,10.35,10.421338461538461,478,-34.099784615384635,19.554713854012306,-53.65449846939694,2,2.117708882441204,-1.0000000000000009,stop_loss
NFLX,long,2026-01-21 09:38:00-05:00,2026-01-21 09:40:00-05:00,83.7,83.46174153846154,59,-14.0572492307694,4.238783788779077,-18.296033019548478,3,5.063725726572211,-1.0000000000000115,stop_loss
ENPH,long,2026-01-22 09:35:00-05:00,2026-01-22 15:55:00-05:00,37.93,40.63,130,351.00000000000034,5.52707584,345.47292416000033,381,2.1203981903244844,13.575185643564364,eod_win
MRNA,long,2026-01-22 09:41:00-05:00,2026-01-22 15:55:00-05:00,51.49,51.505,96,1.4400000000000546,4.261753056000001,-2.821753055999946,375,3.328801191532275,0.04587943824745426,eod_win
ENPH,short,2026-01-23 09:35:00-05:00,2026-01-23 09:42:00-05:00,40.82,41.030892307692305,121,-25.517969230768884,5.155502031544616,-30.6734712623135,8,2.058621489315325,-0.999999999999986,stop_loss
INTC,short,2026-01-23 09:51:00-05:00,2026-01-23 10:44:00-05:00,46.13,46.493780769230774,107,-38.924542307692576,4.591042698276154,-43.51558500596873,54,2.316207255785862,-1.000000000000007,stop_loss
GS,short,2026-01-23 12:55:00-05:00,2026-01-23 15:55:00-05:00,921.01,918.89,5,10.600000000000023,3.9372061,6.662793900000024,181,2.7513961794551927,0.866884478206947,eod_win
BA,long,2026-01-27 09:35:00-05:00,2026-01-27 09:35:00-05:00,245.15,243.89,20,-25.200000000000387,4.19086624,-29.390866240000385,1,2.792117413829923,-1.9076657182687828,stop_loss
ENPH,long,2026-01-27 10:09:00-05:00,2026-01-27 15:55:00-05:00,39.4,39.86,125,57.50000000000011,5.3169285,52.1830715000001,347,3.083450992048748,2.129402129402133,eod_win
META,short,2026-01-29 09:35:00-05:00,2026-01-29 09:35:00-05:00,728.27,730.75,6,-14.88000000000011,3.7470045360000004,-18.627004536000108,1,8.125605610567263,-1.112693332192118,stop_loss
FSLR,short,2026-01-29 09:35:00-05:00,2026-01-29 09:35:00-05:00,222.5,225.0,22,-55.0,4.2189950000000005,-59.218995,1,7.020957347288163,-2.00178004440872,stop_loss
OXY,long,2026-01-29 09:38:00-05:00,2026-01-29 09:38:00-05:00,46.85,46.72500153846154,105,-13.124838461538353,4.508005429490769,-17.632843891029122,1,2.307083190215716,-0.9999999999999921,stop_loss
SHOP,long,2026-01-29 09:40:00-05:00,2026-01-29 09:40:00-05:00,143.99,143.33980846153847,34,-22.106512307692412,4.19055753003477,-26.297069837727182,1,4.171425826900915,-1.0000000000000056,stop_loss
CRM,short,2026-01-29 09:41:00-05:00,2026-01-29 09:50:00-05:00,212.18,213.01184307692307,23,-19.132390769230483,4.191268620771076,-23.32365939000156,10,2.6506194488114914,-0.9999999999999843,stop_loss
MSFT,short,2026-01-29 09:52:00-05:00,2026-01-29 09:52:00-05:00,429.24,432.0,11,-30.3599999999999,4.056475192,-34.4164751919999,1,7.3985971319439106,-1.8686565671716338,stop_loss
SOFI,short,2026-01-30 09:37:00-05:00,2026-01-30 09:37:00-05:00,24.29,24.400768461538462,204,-22.596766153846403,8.503863086099077,-31.10062923994548,1,4.249757489243494,-1.0000000000000115,stop_loss
SOFI,short,2026-02-02 09:35:00-05:00,2026-02-02 09:35:00-05:00,21.99,22.135,225,-32.6250000000007,9.350701874999999,-41.97570187500071,1,2.0774258148153426,-1.294651748981821,stop_loss
DIS,long,2026-02-02 09:43:00-05:00,2026-02-02 09:43:00-05:00,106.3899,106.07,46,-14.715400000000187,4.19622788012,-18.91162788012019,1,8.680353088955911,-1.1670300744495021,stop_loss
HOOD,short,2026-02-02 09:38:00-05:00,2026-02-02 15:55:00-05:00,93.0,89.72,53,173.84000000000006,4.160479648000001,169.67952035200008,378,3.325781327504531,6.263330140954309,eod_win
ROKU,short,2026-02-03 09:36:00-05:00,2026-02-03 09:36:00-05:00,94.67,95.15,52,-24.960000000000207,4.239923792000001,-29.19992379200021,1,3.5876435281319763,-1.2618985506367244,stop_loss
PFE,long,2026-02-03 09:41:00-05:00,2026-02-03 09:41:00-05:00,25.74,25.635,192,-20.1599999999994,8.0179632,-28.1779631999994,1,3.755316313190056,-1.7229192436825775,stop_loss
SOFI,short,2026-02-03 09:35:00-05:00,2026-02-03 15:55:00-05:00,22.69,21.73,218,209.2800000000002,9.061578968000001,200.21842103200018,381,2.130147954207177,7.9592344338930845,eod_win
PLTR,short,2026-02-03 09:35:00-05:00,2026-02-03 15:55:00-05:00,159.582,157.9601,31,50.27889999999945,4.22147182178,46.05742817821945,381,4.842534005725582,2.1830517810476904,eod_win
ADBE,short,2026-02-03 10:23:00-05:00,2026-02-03 15:55:00-05:00,278.23,271.79,17,109.47999999999996,4.005719452000001,105.47428054799997,333,2.0939768577132365,7.334209373631185,eod_win
SMCI,long,2026-02-04 09:35:00-05:00,2026-02-04 09:35:00-05:00,33.57,33.35811384615385,148,-31.35915076923044,6.244505031608615,-37.60365580083906,1,6.513921095877231,-0.9999999999999897,stop_loss
ENPH,long,2026-02-04 09:35:00-05:00,2026-02-04 09:35:00-05:00,51.9299,51.58960384615385,95,-32.32813461538463,4.238676155811539,-36.56681077119617,1,25.666351354686025,-1.0000000000000007,stop_loss
AMD,short,2026-02-04 09:35:00-05:00,2026-02-04 09:36:00-05:00,210.16,211.69284307692308,23,-35.255390769230985,4.1584148641710765,-39.413805633402056,2,2.71670040433936,-1.000000000000006,stop_loss
UBER,short,2026-02-04 09:36:00-05:00,2026-02-04 09:36:00-05:00,74.29,74.9486,66,-43.46759999999952,4.235634023280001,-47.70323402327952,1,6.305193995303379,-2.365353747717307,stop_loss
W,short,2026-02-04 09:35:00-05:00,2026-02-04 09:36:00-05:00,101.74,102.36476846153846,48,-29.98888615384635,4.207104957496615,-34.19599111134296,2,2.3472263637325534,-1.0000000000000067,stop_loss
PYPL,short,2026-02-04 09:38:00-05:00,2026-02-04 09:38:00-05:00,40.31,40.515830769230774,123,-25.317184615384974,5.237211845732308,-30.55439646111728,1,3.1308246039793635,-1.0000000000000147,stop_loss
SHOP,short,2026-02-04 09:45:00-05:00,2026-02-04 09:45:00-05:00,111.8429,112.59,44,-32.87240000000014,4.23915336328,-37.11155336328014,1,2.676821182630164,-1.0076264759373375,stop_loss
COIN,long,2026-02-05 09:35:00-05:00,2026-02-05 09:35:00-05:00,164.14,163.02265384615384,30,-33.52038461538427,4.208765499461538,-37.729150114845815,1,2.699514989149477,-0.9999999999999901,stop_loss
HOOD,long,2026-02-05 09:35:00-05:00,2026-02-05 09:35:00-05:00,78.97,78.40608538461538,62,-34.96270615384634,4.194764338307385,-39.15747049215373,1,2.0073473924169236,-1.000000000000006,stop_loss
COST,short,2026-02-05 09:40:00-05:00,2026-02-05 09:40:00-05:00,987.76,989.7753107692307,5,-10.076553846153615,4.231608029735385,-14.308161875888999,1,2.3428064990096957,-0.9999999999999771,stop_loss
W,short,2026-02-05 09:36:00-05:00,2026-02-05 09:42:00-05:00,86.01,86.6435376923077,57,-36.11164846153878,4.229011455211847,-40.340659916750624,7,5.279425789288762,-1.0000000000000089,stop_loss
MSTR,long,2026-02-05 09:43:00-05:00,2026-02-05 09:43:00-05:00,121.96,120.79645692307692,40,-46.54172307692306,4.167328490867693,-50.70905156779075,1,2.472232294056027,-1.0,stop_loss
