sym,dir,entry_time,exit_time,entry,exit,shares,gross,costs,net,bars,rvol,r_mult,reason
INTC,long,2026-01-28 09:36:00-05:00,2026-01-28 09:36:00-05:00,48.075,47.69860384615385,102,-38.39240769230746,4.385439631066154,-42.777847323373614,1,1.5510396294053492,-0.9999999999999941,stop_loss
TSLA,short,2026-01-29 09:35:00-05:00,2026-01-29 09:35:00-05:00,428.77,430.39,11,-17.82000000000005,4.046687128,-21.866687128000052,1,1.6700608156749406,-1.1852782364680772,stop_loss
META,short,2026-01-29 09:35:00-05:00,2026-01-29 09:35:00-05:00,728.27,730.75,6,-14.88000000000011,3.7470045360000004,-18.627004536000108,1,8.125605610567263,-1.112693332192118,stop_loss
GS,long,2026-01-29 09:35:00-05:00,2026-01-29 09:35:00-05:00,954.64,952.1388838461538,5,-12.505580769230846,4.080260032546924,-16.58584080177777,1,1.7999401450965418,-1.0000000000000058,stop_loss
FSLR,short,2026-01-29 09:35:00-05:00,2026-01-29 09:35:00-05:00,222.5,225.0,22,-55.0,4.2189950000000005,-59.218995,1,7.020957347288163,-2.00178004440872,stop_loss
OXY,long,2026-01-29 09:38:00-05:00,2026-01-29 09:38:00-05:00,46.85,46.72500153846154,105,-13.124838461538353,4.508005429490769,-17.632843891029122,1,2.307083190215716,-0.9999999999999921,stop_loss
SHOP,long,2026-01-29 09:40:00-05:00,2026-01-29 09:40:00-05:00,143.99,143.33980846153847,34,-22.106512307692412,4.19055753003477,-26.297069837727182,1,4.171425826900915,-1.0000000000000056,stop_loss
CVX,long,2026-01-29 09:35:00-05:00,2026-01-29 09:44:00-05:00,173.99,173.7057,28,-7.96040000000005,4.1741341728800005,-12.134534172880048,10,1.897711732394524,-1.0000000000000075,stop_loss
UBER,long,2026-01-29 09:46:00-05:00,2026-01-29 09:46:00-05:00,81.74,81.4993323076923,60,-14.440061538461748,4.209947181673845,-18.650008720135595,1,1.645259586759625,-1.0000000000000149,stop_loss
CRM,short,2026-01-29 09:41:00-05:00,2026-01-29 09:50:00-05:00,212.18,213.01184307692307,23,-19.132390769230483,4.191268620771076,-23.32365939000156,10,2.6506194488114914,-0.9999999999999843,stop_loss
MSFT,short,2026-01-29 09:52:00-05:00,2026-01-29 09:52:00-05:00,429.24,432.0,11,-30.3599999999999,4.056475192,-34.4164751919999,1,7.3985971319439106,-1.8686565671716338,stop_loss
MSTR,short,2026-01-29 09:56:00-05:00,2026-01-29 15:55:00-05:00,150.92,142.575,32,267.03999999999996,4.028453152,263.01154684799997,360,1.554491709266704,8.125383387622396,eod_win
PLTR,short,2026-01-29 09:35:00-05:00,2026-01-29 15:55:00-05:00,153.75,151.89,32,59.52000000000044,4.194713344,55.325286656000436,381,1.7683605305037309,2.795307859577996,eod_win
SOFI,short,2026-01-30 09:37:00-05:00,2026-01-30 09:37:00-05:00,24.29,24.400768461538462,203,-22.48599769230794,8.462177482735846,-30.948175175043787,1,4.249757489243494,-1.0000000000000115,stop_loss
CVX,short,2026-01-30 09:39:00-05:00,2026-01-30 09:39:00-05:00,172.0212,172.43,28,-11.44640000000038,4.13527025408,-15.58167025408038,1,1.64388692709534,-1.321365523757473,stop_loss
XOM,short,2026-01-30 12:29:00-05:00,2026-01-30 12:33:00-05:00,138.355,138.64,35,-9.97499999999988,4.159066135,-14.13406613499988,5,1.524646508184294,-1.0032276582148119,stop_loss
SOFI,short,2026-02-02 09:35:00-05:00,2026-02-02 09:35:00-05:00,21.99,22.135,224,-32.4800000000007,9.309143200000001,-41.7891432000007,1,2.0774258148153426,-1.294651748981821,stop_loss
DIS,long,2026-02-02 09:43:00-05:00,2026-02-02 09:43:00-05:00,106.3899,106.07,46,-14.715400000000187,4.19622788012,-18.91162788012019,1,8.680353088955911,-1.1670300744495021,stop_loss
MSTR,long,2026-02-02 09:35:00-05:00,2026-02-02 10:00:00-05:00,141.6,140.57297153846153,34,-34.918967692307774,4.115550305621231,-39.034517997929,26,1.9299588351855923,-1.0000000000000027,stop_loss
COIN,short,2026-02-02 10:00:00-05:00,2026-02-02 10:15:00-05:00,185.9,186.88296076923078,26,-25.556980000000067,4.1550223160440005,-29.71200231604407,16,1.8763519144619916,-1.000000000000003,stop_loss
